Ind_ID,Site,Depth,Sex,Carapace_length_mm
Pom19_01,Pom2,232.5,M,52
Pom19_02,Pom2,232.5,M,47
Pom19_03,Pom2,232.5,M,39
Pom19_04,Pom2,232.5,M,35
Pom19_05,Pom2,232.5,M,34
Pom19_06,Pom2,232.5,M,29
Pom19_07,Pom2,232.5,M,27
Pom19_08,Pom2,232.5,M,21
Pom19_09,Pom2,232.5,M,20
Pom19_10,Pom2,232.5,M,41
Pom19_11,Pom2,232.5,F,33
Pom19_12,Pom2,232.5,F,29
Pom19_13,Pom2,232.5,F,31
Pom19_14,Pom2,232.5,F,28
Pom19_15,Pom2,232.5,F,24
Pom19_16,Pom2,232.5,F,23
Pom19_17,Pom2,232.5,F,22
Pom19_18,Pom2,232.5,F,21
Pom19_20,Pom2,232.5,F,20
Pom19_21,Pom3,175,F,25
Pom19_22,Pom3,175,F,26
Pom19_23,Pom3,175,F,30
Pom19_24,Pom3,175,F,20
Pom19_25,Pom3,175,F,21
Pom19_26,Pom3,175,F,27
Pom19_27,Pom3,175,F,23
Pom19_28,Pom3,175,F,18
Pom19_29,Pom3,175,F,28
Pom19_30,Pom3,175,F,24
Pom19_32,Pom3,175,M,46
Pom19_33,Pom3,175,M,41
Pom19_34,Pom3,175,M,30
Pom19_35,Pom3,175,M,47
Pom19_36,Pom3,175,M,42
Pom19_37,Pom3,175,M,23
Pom19_38,Pom3,175,M,39
Pom19_39,Pom3,175,M,25
Pom19_40,Pom3,175,M,34
PomIII_05,Pom1,216,M,28
PomIII_13,Pom1,216,M,35
PomIII_14,Pom1,216,M,32
PomIII_15,Pom1,216,F,31
PomIII_16,Pom1,216,M,30
PomIII_17,Pom1,216,F,30
PomIII_18,Pom1,216,M,32
PomIII_19,Pom1,216,F,26
PomIII_20,Pom1,216,F,26
PomIII_21,Pom1,216,M,24
PomIII_22,Pom1,216,F,25
PomIII_23,Pom1,216,F,24
PomIII_24,Pom1,216,M,25
PomIII_26,Pom1,216,M,22
PomIII_27,Pom1,216,F,26
PomIII_28,Pom1,216,F,32
PomIII_31,Pom1,216,M,20
PomIII_33,Pom1,216,M,20
PomIII_36,Pom1,216,M,21
